MRPS10 MRPS14 
MRPS10 MRPS9 
MRPS10 MRPS11 
MRPS10 MRPL24 
MRPS10 MRPL17 
MRPS10 MRPS16 
MRPS10 MRPS15 
MRPS10 MRPS2 
MRPS10 MRPS5 
MRPS10 MRPL13 
DAP3 MRPS35 
DAP3 MRPL4 
DAP3 PTCD3 
DAP3 MRPS9 
DAP3 MRPS18B 
DAP3 MRPS5 
DAP3 MRPL17 
DAP3 MRPL46 
DAP3 MRPS23 
DAP3 MRPS22 
DAP3 MRPS15 
DAP3 MRPS2 
MRPS14 MRPS25 
MRPS14 MRPS9 
MRPS14 MRPS11 
MRPS14 MRPS2 
MRPS14 MRPS16 
MRPS14 MRPS15 
MRPS9 MRPS35 
MRPS9 MRPL32 
MRPS9 MRPL27 
MRPS9 MRPS7 
MRPS9 MRPL4 
MRPS9 PTCD3 
MRPS9 MRPL19 
MRPS9 MRPS18B 
MRPS9 MRPS23 
MRPS9 MRPL43 
MRPS9 MRPL9 
MRPS9 MRPS6 
MRPS9 MRPS11 
MRPS9 MRPL15 
MRPS9 MRPL40 
MRPS9 MRPL17 
MRPS9 MRPL3 
MRPS9 MRPL21 
MRPS9 MRPS16 
MRPS9 MRPS15 
MRPS9 MRPS2 
MRPS9 MRPS5 
MRPS9 MRPL13 
MRPS11 MRPS7 
MRPS11 MRPS5 
MRPS11 MRPL36 
MRPS11 MRPS16 
MRPS11 MRPS15 
MRPS11 MRPS2 
MRPL24 MRPL4 
MRPL24 MRPL15 
MRPL24 MRPL17 
MRPL24 MRPL13 
MRPL24 MRPL11 
MRPL24 MRPL19 
MRPL24 MRPL9 
MRPL24 MRPL2 
MRPL24 MRPL21 
MRPL17 MRPL32 
MRPL17 MRPL27 
MRPL17 MRPS7 
MRPL17 MRPL4 
MRPL17 MRPL15 
MRPL17 MRPL3 
MRPL17 MRPS5 
MRPL17 MRPL19 
MRPL17 MRPL22 
MRPL17 MRPL43 
MRPL17 MRPL9 
MRPL17 MRPL47 
MRPL17 MRPS6 
MRPL17 MRPL40 
MRPL17 MRPL1 
MRPL17 MRPS12 
MRPL17 MRPL36 
MRPL17 MRPL2 
MRPL17 MRPL46 
MRPL17 MRPL21 
MRPL17 MRPS16 
MRPL17 MRPS15 
MRPL17 MRPL13 
MRPL17 MRPL41 
MRPS16 MRPL32 
MRPS16 MRPL27 
MRPS16 MRPS7 
MRPS16 MRPS25 
MRPS16 MRPL44 
MRPS16 MRPS5 
MRPS16 MRPL16 
MRPS16 MRPL11 
MRPS16 MRPL40 
MRPS16 MRPL43 
MRPS16 MRPL21 
MRPS16 MRPS2 
MRPS16 MRPL19 
MRPS16 MRPL47 
MRPS16 MRPS12 
MRPS16 MRPL36 
MRPS16 MRPS15 
MRPS15 MRPS35 
MRPS15 MRPL27 
MRPS15 MRPS7 
MRPS15 MRPL4 
MRPS15 MRPL3 
MRPS15 MRPS5 
MRPS15 MRPS2 
MRPS15 MRPL19 
MRPS15 MRPL47 
MRPS15 MRPS6 
MRPS2 MRPS35 
MRPS2 MRPS7 
MRPS2 PTCD3 
MRPS2 MRPS18B 
MRPS2 MRPS5 
MRPS2 MRPS23 
MRPS2 MRPL43 
MRPS2 MRPS22 
MRPS5 MRPS35 
MRPS5 MRPS7 
MRPS5 MRPL4 
MRPS5 MRPL47 
MRPS5 MRPS18C 
MRPS5 MRPL16 
MRPS5 MRPL46 
MRPL13 MRPL32 
MRPL13 MRPL27 
MRPL13 MRPS7 
MRPL13 MRPL4 
MRPL13 MRPL44 
MRPL13 MRPL15 
MRPL13 MRPL3 
MRPL13 MRPL16 
MRPL13 MRPL19 
MRPL13 MRPL18 
MRPL13 MRPL11 
MRPL13 MRPL9 
MRPL13 MRPL47 
