CYP51A1 LSS
RPL19 RPL18
RPL19 RPL26
RPL19 RPS26
RPL19 EEF1A1
RPL19 RPL37
RPL19 RPS2
RPL19 RPS19
RPL19 RPL29
RPL19 RPS15
RPL19 RPL3L
RPL19 RPS5
RPL19 RPS11
RPL19 RPL6
SUPT4H1 SUPT5H
SUPT4H1 POLR2F
SUPT4H1 POLR2A
GOSR2 STX5
GOSR2 SEC22B
RPS6KB1 RPS6
RPS6KB1 MTOR
GOSR1 STX5
MED31 MED28
MED31 MED18
MED31 MED7
MED31 MED10
MED31 MED12
KAT2A SUPT3H
KAT2A TAF9
KAT2A MYC
KAT2A SUPT7L
KAT2A TADA3
COL1A1 COL1A2
MRPL27 MRPL19
MRPL27 MRPL22
MRPL27 MRPL11
MRPL27 MRPL9
MRPL27 MRPL47
MRPL27 MRPS9
MRPL27 MRPL15
MRPL27 MRPL40
MRPL27 MRPL4
MRPL27 MRPL17
MRPL27 MRPL1
MRPL27 MRPL3
MRPL27 MRPL36
MRPL27 MRPL20
MRPL27 MRPL46
MRPL27 MRPL21
MRPL27 MRPS16
MRPL27 MRPS15
MRPL27 MRPL13
MRPL27 MRPL41
IL2 IL2RA
GAR1 NOP10
GAR1 NHP2
GAR1 DKC1
CCND1 CDKN1A
CCND1 CDK2
CCND1 CDK4
CCND1 CDK6
PRPF19 PRPF8
PRPF19 SF3B3
PRPF19 SYF2
PRPF19 SNRPD2
PRPF19 SNRPE
PRPF19 CDC5L
PRPF19 CWC15
PRPF19 BCAS2
PRPF19 EFTUD2
PRPF19 CDC40
PRPF19 EIF4A3
PRPF19 PLRG1
PRPF19 SNRPA1
PRPF19 SNRNP200
PRPF19 SNRPF
PRPF19 SNRPD1
PRPF19 XAB2
PRPF19 CRNKL1
PRPF19 BUD31
APOC3 APOA1
PDHX PDHB
KITLG KIT
POLR3B POLR3H
POLR3B POLR3F
POLR3B CRCP
POLR3B POLR2H
POLR3B POLR2E
POLR3B POLR3C
POLR3B POLR3D
POLR3B POLR3A
POLR3B POLR1C
POLR3B POLR3E
SELPLG SELP
GLI1 SUFU
ARPC3 ARPC5
ARPC3 ARPC5L
ARPC3 ARPC1A
ARPC3 ARPC2
ARPC3 ARPC4
ARPC3 ARPC1B
ARPC3 ACTR3
ARPC3 ACTR2
CDKN1B CCND3
CDKN1B CDK2
CDKN1B CCNA2
CDKN1B CCNE1
NUP107 NUP37
NUP107 SEH1L
NUP107 NUP160
NUP107 NUP98
NUP107 NUP85
NUP107 SEC13
NUP107 NUP155
NUP107 NUP133
NUP107 NUP43
CNOT2 CNOT7
CNOT2 RQCD1
CNOT2 CNOT1
CNOT2 CNOT3
KRR1 TBL3
KRR1 WDR46
KRR1 PNO1
KRR1 BYSL
KRR1 WDR36
KRR1 DCAF13
KRR1 NOP56
KRR1 NOP58
KRR1 NOC4L
GAPDH TPI1
GNB3 GNG5
GNB3 GNG11
GNB3 GNG7
GNB3 GNGT2
GNB3 GNG4
GNB3 GNG3
GNB3 GNG12
GNB3 GNGT1
GNB3 PDCL
GNB3 GNG13
GNB3 GNG2
GNB3 GNG10
TPI1 GPI
TPI1 PGK1
NANOG POU5F1
PRKAB1 PRKAG1
PRKAB1 PRKAA1
PRKAB1 PRKAA2
COX6A1 COX5B
SRSF9 SRSF7
GCLC GCLM
FBXO5 CDC20
FANCE FANCA
FANCE FANCC
FANCE HES1
FANCE FANCF
FANCE STRA13
FANCE FANCM
